doc_id,item,category,amount,price,discount
46158e09,Чистящее средство,Бытовая химия,3,444.72,0.0
46158e09,Ложки и вилки,Посуда,3,372.82,0.0
f29d970c,Тарелки,Посуда,3,480.97,0.0
f29d970c,Кастрюля,Посуда,3,360.41,0.0
f29d970c,Шторы,Текстиль,3,196.54,28.03
098f34b6,Носки,Текстиль,5,480.59,89.17
098f34b6,Носки,Текстиль,4,303.22,0.0
098f34b6,Моющее средство для пола,Бытовая химия,5,103.04,28.72
098f34b6,Подушка,Текстиль,4,351.99,56.9
098f34b6,Освежитель воздуха,Бытовая химия,1,188.59,0.0
3b708d63,Подушка,Текстиль,2,226.32,0.0
3b708d63,Чашки,Посуда,4,383.25,63.38
3b708d63,Освежитель воздуха,Бытовая химия,3,442.72,67.18
3b708d63,Подушка,Текстиль,4,300.32,0.0
3b708d63,Моющее средство для посуды,Бытовая химия,3,308.88,0.0
e6582499,Тостер,Посуда,2,266.09,0.0
e6582499,Тканевые мешки для стирки,Текстиль,1,78.34,1.36
2525f719,Одеяло,Текстиль,5,229.75,16.58
2525f719,Порошок для стирки,Бытовая химия,2,241.45,0.0
2525f719,Кастрюля,Посуда,3,312.22,29.41
2525f719,Освежитель воздуха,Бытовая химия,2,292.78,0.0
2525f719,Тостер,Посуда,3,243.33,0.0
2bff5e66,Моющее средство для кухни,Бытовая химия,3,166.61,44.45
2bff5e66,Одеяло,Текстиль,5,288.62,0.0
964336f5,Жидкость для чистки,Бытовая химия,3,97.53,17.45
964336f5,Освежитель воздуха,Бытовая химия,3,361.48,14.86
964336f5,Освежитель воздуха,Бытовая химия,4,422.32,0.0
964336f5,Одеяло,Текстиль,2,385.39,14.23
964336f5,Кастрюля,Посуда,3,313.38,0.0
24823502,Моющее средство для пола,Бытовая химия,5,278.59,44.13
24823502,Антибактериальные салфетки,Бытовая химия,1,136.94,0.0
24823502,Салатники,Посуда,4,421.21,0.0
24823502,Тарелки,Посуда,4,94.47,0.0
45fe6c89,Одеяло,Текстиль,1,432.13,0.0
45fe6c89,Губки для посуды,Бытовая химия,4,435.43,103.23
45fe6c89,Освежитель воздуха,Бытовая химия,4,447.84,2.13
45fe6c89,Носки,Текстиль,2,216.56,0.0
6b9203e7,Моющее средство для пола,Бытовая химия,2,426.44,53.06
6b9203e7,Носки,Текстиль,5,470.13,85.99
6b9203e7,Порошок для стирки,Бытовая химия,2,99.35,0.0
6b9203e7,Салатники,Посуда,3,301.85,0.0
f1654483,Чистящее средство,Бытовая химия,2,433.29,84.48
f1654483,Тостер,Посуда,1,422.14,105.38
