doc_id,item,category,amount,price,discount
22855d58,Антибактериальные салфетки,Бытовая химия,3,431.18,0.0
22855d58,Носки,Текстиль,4,392.5,0.0
22855d58,Полотенца,Текстиль,1,55.85,6.35
22855d58,Салатники,Посуда,1,286.09,0.0
1393927e,Чашки,Посуда,1,298.11,55.31
1393927e,Сковорода,Посуда,5,237.9,17.29
1393927e,Губки для посуды,Бытовая химия,3,239.59,0.0
1393927e,Салатники,Посуда,2,290.96,0.0
18dda8b0,Покрывала,Текстиль,1,191.33,0.0
18dda8b0,Жидкость для чистки,Бытовая химия,2,488.65,43.21
18dda8b0,Ножи,Посуда,4,239.03,63.5
18dda8b0,Покрывала,Текстиль,2,138.14,6.32
88340c4c,Антибактериальные салфетки,Бытовая химия,1,460.82,0.0
3b235ae5,Моющее средство для пола,Бытовая химия,1,414.5,0.0
eb02e81c,Жидкость для чистки,Бытовая химия,4,68.64,5.08
eb02e81c,Фартук,Текстиль,1,216.08,0.0
eb02e81c,Кружки,Посуда,1,207.34,0.0
eb02e81c,Салатники,Посуда,2,292.73,25.99
c0fdfcd8,Чайник,Посуда,5,102.9,27.9
c0fdfcd8,Жидкость для чистки,Бытовая химия,4,108.6,0.0
c0fdfcd8,Коврики для ванной,Текстиль,5,444.79,38.8
c0fdfcd8,Чайник,Посуда,3,51.83,11.41
327b05eb,Полотенца,Текстиль,1,323.21,0.0
327b05eb,Ножи,Посуда,2,331.38,5.31
327b05eb,Порошок для стирки,Бытовая химия,4,109.6,0.0
327b05eb,Сковорода,Посуда,3,458.33,0.0
7eb1a3ac,Покрывала,Текстиль,4,312.06,0.31
7eb1a3ac,Ножи,Посуда,4,352.07,0.0
8b0631ef,Салатники,Посуда,1,187.34,37.83
8b0631ef,Ножи,Посуда,4,408.78,0.0
8b0631ef,Тканевые мешки для стирки,Текстиль,2,320.71,82.39
8b0631ef,Моющее средство для посуды,Бытовая химия,4,144.3,0.0
8b0631ef,Средство для мытья окон,Бытовая химия,1,337.69,48.27
8a1eace4,Средство для мытья окон,Бытовая химия,1,411.01,0.0
8a1eace4,Моющее средство для посуды,Бытовая химия,3,217.16,0.0
8a1eace4,Покрывала,Текстиль,4,308.34,58.9
8a1eace4,Жидкость для чистки,Бытовая химия,1,123.45,15.71
8a1eace4,Порошок для стирки,Бытовая химия,5,415.63,0.0
6089b6ed,Порошок для стирки,Бытовая химия,3,281.57,26.3
6089b6ed,Моющее средство для пола,Бытовая химия,2,196.23,0.0
6089b6ed,Губки для посуды,Бытовая химия,3,85.25,4.68
6089b6ed,Порошок для стирки,Бытовая химия,2,172.24,0.0
6089b6ed,Коврики для ванной,Текстиль,3,375.75,32.64
