doc_id,item,category,amount,price,discount
bf6df68f,Носки,Текстиль,1,53.63,0.06
bf6df68f,Фартук,Текстиль,5,491.06,0.0
bf6df68f,Шторы,Текстиль,5,444.95,92.18
34402b28,Шторы,Текстиль,3,140.23,0.0
280098e1,Ложки и вилки,Посуда,2,153.63,21.67
c7757653,Средство для мытья окон,Бытовая химия,5,434.27,3.33
c7757653,Моющее средство для пола,Бытовая химия,3,465.85,51.13
83c0655d,Моющее средство для посуды,Бытовая химия,5,157.5,32.8
83c0655d,Ложки и вилки,Посуда,2,289.26,0.0
83c0655d,Ложки и вилки,Посуда,4,75.1,4.08
83c0655d,Моющее средство для посуды,Бытовая химия,4,387.49,109.41
32ceb400,Чистящее средство,Бытовая химия,3,129.03,17.19
32ceb400,Шторы,Текстиль,4,499.17,67.21
cbad4869,Порошок для стирки,Бытовая химия,1,218.12,0.0
cbad4869,Тарелки,Посуда,4,97.69,0.0
cbad4869,Ножи,Посуда,3,121.56,0.0
cbad4869,Чашки,Посуда,4,358.32,0.0
2c348cef,Постельное бельё,Текстиль,1,376.84,0.0
2c348cef,Фартук,Текстиль,4,421.41,12.43
920509df,Чайник,Посуда,2,363.14,17.78
97682e04,Кастрюля,Посуда,1,234.1,0.0
84e4d8c7,Моющее средство для кухни,Бытовая химия,1,272.93,0.0
84e4d8c7,Ножи,Посуда,2,168.53,36.52
57065942,Моющее средство для посуды,Бытовая химия,1,180.11,0.0
57065942,Подушка,Текстиль,2,89.51,0.59
57065942,Освежитель воздуха,Бытовая химия,2,65.8,0.0
57065942,Полотенца,Текстиль,5,491.93,25.9
57065942,Кастрюля,Посуда,5,107.71,23.59
c6715165,Салатники,Посуда,3,486.62,0.0
c6715165,Моющее средство для пола,Бытовая химия,3,169.28,44.62
c6715165,Губки для посуды,Бытовая химия,3,225.39,0.0
44496903,Жидкость для чистки,Бытовая химия,2,120.67,0.0
44496903,Ложки и вилки,Посуда,3,112.29,0.0
38a294b0,Ложки и вилки,Посуда,2,426.99,0.0
e6b83adb,Ложки и вилки,Посуда,2,399.49,95.14
e6b83adb,Кружки,Посуда,5,460.92,77.26
c7806c30,Кружки,Посуда,3,417.59,0.0
c7806c30,Носки,Текстиль,5,168.31,0.0
c7806c30,Салатники,Посуда,2,420.78,0.0
c7806c30,Чистящее средство,Бытовая химия,5,431.61,0.0
df777e22,Покрывала,Текстиль,5,487.35,0.0
df777e22,Чистящее средство,Бытовая химия,2,234.59,0.0
df777e22,Салатники,Посуда,4,346.05,58.77
df777e22,Жидкость для чистки,Бытовая химия,5,436.26,79.38
df777e22,Постельное бельё,Текстиль,1,167.19,0.0
3f27b7cd,Коврики для ванной,Текстиль,2,334.7,78.64
3f27b7cd,Одеяло,Текстиль,5,180.4,30.43
3f27b7cd,Постельное бельё,Текстиль,5,255.89,21.33
3f27b7cd,Губки для посуды,Бытовая химия,1,427.07,107.66
3f27b7cd,Ножи,Посуда,3,434.64,0.0
aa886c8d,Моющее средство для пола,Бытовая химия,4,360.84,95.39
aa886c8d,Освежитель воздуха,Бытовая химия,1,289.85,56.8
aa886c8d,Постельное бельё,Текстиль,4,443.49,0.0
aa886c8d,Чашки,Посуда,2,325.44,77.74
7ca0d2e6,Чашки,Посуда,1,90.43,3.86
7ca0d2e6,Кастрюля,Посуда,2,394.91,0.0
e6270ef6,Чистящее средство,Бытовая химия,4,225.91,24.88
e6270ef6,Носки,Текстиль,3,377.74,0.0
e6270ef6,Шторы,Текстиль,2,474.86,132.22
b218bc75,Фартук,Текстиль,2,133.7,15.94
b218bc75,Ножи,Посуда,5,130.86,0.0
b218bc75,Тканевые мешки для стирки,Текстиль,2,489.73,81.76
f3d9dbbf,Средство для мытья окон,Бытовая химия,5,64.54,13.99
f3d9dbbf,Моющее средство для посуды,Бытовая химия,5,211.02,52.76
f3d9dbbf,Антибактериальные салфетки,Бытовая химия,3,310.02,0.0
f3d9dbbf,Носки,Текстиль,5,317.81,0.0
a872e67b,Коврики для ванной,Текстиль,5,348.84,44.16
a872e67b,Коврики для ванной,Текстиль,4,201.99,9.78
a872e67b,Чайник,Посуда,4,385.71,0.0
a872e67b,Шторы,Текстиль,1,125.1,0.32
a872e67b,Моющее средство для пола,Бытовая химия,2,380.06,34.54
126d5b76,Сковорода,Посуда,4,77.53,16.92
126d5b76,Моющее средство для посуды,Бытовая химия,2,261.37,0.0
e04495ea,Постельное бельё,Текстиль,3,76.62,0.0
e04495ea,Носки,Текстиль,2,146.98,0.0
0d052b53,Носки,Текстиль,5,278.69,0.0
22464274,Постельное бельё,Текстиль,4,321.4,14.91
22464274,Салатники,Посуда,1,373.5,0.0
22464274,Тарелки,Посуда,4,80.45,0.0
22464274,Сковорода,Посуда,4,404.84,48.88
22464274,Коврики для ванной,Текстиль,2,83.65,7.79
