doc_id,item,category,amount,price,discount
6e4485d4,Ножи,Посуда,2,238.43,0.0
7752e8d5,Ложки и вилки,Посуда,4,243.01,17.2
7752e8d5,Тканевые мешки для стирки,Текстиль,4,111.24,0.0
7752e8d5,Носки,Текстиль,5,463.74,56.53
30c1a6e6,Шторы,Текстиль,4,411.52,84.66
30c1a6e6,Сковорода,Посуда,4,443.22,0.0
30c1a6e6,Кружки,Посуда,4,476.49,1.48
30c1a6e6,Чашки,Посуда,4,405.72,53.37
30c1a6e6,Шторы,Текстиль,5,456.05,88.68
03fe2ea3,Порошок для стирки,Бытовая химия,4,478.66,38.65
03fe2ea3,Порошок для стирки,Бытовая химия,2,71.06,13.06
03fe2ea3,Носки,Текстиль,2,235.4,0.0
03fe2ea3,Коврики для ванной,Текстиль,4,117.35,0.0
03fe2ea3,Коврики для ванной,Текстиль,5,274.89,75.93
8455ea73,Тканевые мешки для стирки,Текстиль,1,189.38,0.0
8455ea73,Шторы,Текстиль,3,380.93,33.23
8455ea73,Моющее средство для пола,Бытовая химия,4,109.58,0.0
8455ea73,Кружки,Посуда,5,236.72,0.0
bb52c0b9,Носки,Текстиль,1,66.95,0.0
bb52c0b9,Средство для мытья окон,Бытовая химия,5,498.98,0.0
1fb1f3c6,Тарелки,Посуда,1,97.23,0.0
1fb1f3c6,Тостер,Посуда,2,225.91,0.0
1fb1f3c6,Моющее средство для посуды,Бытовая химия,3,321.5,1.7
d6ef5885,Освежитель воздуха,Бытовая химия,2,149.73,12.49
d6ef5885,Антибактериальные салфетки,Бытовая химия,5,401.31,0.0
d6ef5885,Носки,Текстиль,3,368.13,42.37
d6ef5885,Моющее средство для посуды,Бытовая химия,1,200.04,18.92
2cbfd86e,Постельное бельё,Текстиль,5,138.68,34.37
2cbfd86e,Тостер,Посуда,5,432.02,111.14
2cbfd86e,Чистящее средство,Бытовая химия,4,352.21,46.63
2cbfd86e,Чайник,Посуда,4,80.41,16.77
c49777cc,Подушка,Текстиль,1,146.46,21.36
c49777cc,Освежитель воздуха,Бытовая химия,4,412.34,0.0
c49777cc,Постельное бельё,Текстиль,4,150.43,19.22
c49777cc,Коврики для ванной,Текстиль,5,456.97,98.9
ecc2cfff,Ложки и вилки,Посуда,4,490.44,0.0
ecc2cfff,Коврики для ванной,Текстиль,2,434.14,0.0
ecc2cfff,Носки,Текстиль,3,290.14,68.4
ecc2cfff,Моющее средство для посуды,Бытовая химия,1,87.93,0.0
b2a9b207,Постельное бельё,Текстиль,3,423.18,0.0
b2a9b207,Тканевые мешки для стирки,Текстиль,2,164.84,13.38
b2a9b207,Антибактериальные салфетки,Бытовая химия,2,417.9,0.0
f2a5e0f6,Антибактериальные салфетки,Бытовая химия,5,358.98,0.0
f2a5e0f6,Ложки и вилки,Посуда,4,451.62,23.79
f2a5e0f6,Коврики для ванной,Текстиль,4,441.78,82.25
b843b345,Покрывала,Текстиль,5,355.38,71.99
b843b345,Средство для мытья окон,Бытовая химия,5,266.59,0.0
b843b345,Чайник,Посуда,2,276.55,0.0
660a3f0d,Фартук,Текстиль,3,164.92,43.14
660a3f0d,Постельное бельё,Текстиль,5,201.03,0.0
2c157ad1,Ножи,Посуда,4,426.78,0.0
2c157ad1,Фартук,Текстиль,1,377.56,0.0
2c157ad1,Чайник,Посуда,2,211.83,57.8
165716ca,Ложки и вилки,Посуда,1,222.39,48.91
165716ca,Фартук,Текстиль,2,225.01,0.0
165716ca,Тарелки,Посуда,3,128.32,0.0
165716ca,Чайник,Посуда,5,140.04,11.95
fd7fc390,Ложки и вилки,Посуда,2,487.58,67.36
fd7fc390,Подушка,Текстиль,4,360.26,0.0
fd7fc390,Коврики для ванной,Текстиль,2,141.37,0.0
0e2e3796,Сковорода,Посуда,4,287.81,0.0
71cfe379,Порошок для стирки,Бытовая химия,5,186.69,8.54
71cfe379,Антибактериальные салфетки,Бытовая химия,5,463.68,0.0
71cfe379,Ложки и вилки,Посуда,5,281.42,0.0
b6bde90e,Салатники,Посуда,2,179.5,7.75
b6bde90e,Салатники,Посуда,3,214.34,0.0
b6bde90e,Ножи,Посуда,3,276.02,51.66
b6bde90e,Коврики для ванной,Текстиль,4,231.76,0.0
2028cafb,Шторы,Текстиль,3,300.8,14.27
d47706d2,Кружки,Посуда,2,174.83,0.0
e89fba94,Тостер,Посуда,1,108.21,19.03
e89fba94,Чашки,Посуда,2,72.79,0.11
e89fba94,Салатники,Посуда,4,308.12,0.0
e89fba94,Моющее средство для посуды,Бытовая химия,3,334.21,0.0
e89fba94,Средство для мытья окон,Бытовая химия,3,377.27,0.0
3f4c19fc,Порошок для стирки,Бытовая химия,1,389.71,0.0
3f4c19fc,Кастрюля,Посуда,1,497.71,113.52
3f4c19fc,Чашки,Посуда,2,269.29,0.0
3f4c19fc,Тканевые мешки для стирки,Текстиль,5,304.74,0.0
3f4c19fc,Чайник,Посуда,4,309.6,14.72
611dd854,Шторы,Текстиль,3,400.74,0.0
611dd854,Чайник,Посуда,3,51.32,0.0
611dd854,Фартук,Текстиль,4,125.91,0.0
611dd854,Тостер,Посуда,4,437.2,0.0
